Date,Handicap,Series,Race,Div,Boat name,Elapsed time,ETsecs,RankAppld,TCFapplied,PHRF,IRC
2/11/2013,Island Bay,Island Bay,r1,Combined,Ran Tan II,2:23:37,8617,19,1.044,1.04,
2/11/2013,Island Bay,Island Bay,r1,Combined,Incantare,3:34:11,12851,20,0.701,0.725,
2/11/2013,Island Bay,Island Bay,r1,Combined,The Guarantee,2:56:41,10601,21,0.85,0.845,
2/11/2013,Island Bay,Island Bay,r1,Combined,Saucy Sausage,3:58:33,14313,22,0.632,0.63,
2/11/2013,Island Bay,Island Bay,r1,Combined,Airship,3:24:50,12290,23,0.737,0.735,
2/11/2013,Island Bay,Island Bay,r1,Combined,Rocket Science,3:02:12,10932,24,0.83,0.82,
2/11/2013,Island Bay,Island Bay,r1,Combined,Titus Canby,3:41:32,13292,25,0.687,0.69,
2/11/2013,Island Bay,Island Bay,r1,Combined,St Laurence,2:33:07,9187,26,1.051,,
2/11/2013,Island Bay,Island Bay,r1,Combined,Haumuri,<dnf>,,,,,
2/11/2013,Classics,Classics,r2,Combined,Lizzie,7:01:40,25300,27,0.4,,
2/11/2013,Classics,Classics,r2,Combined,Loloma,<dnf>,,,,,
6/11/2013,Fleet,Twilight 1,r1,Combined,Blink,1:01:39,3699,1,0.95,0.98,
6/11/2013,Fleet,Twilight 1,r1,Combined,Wellington Spirit Red,1:28:54,5334,2,0.765,0.79,
8/11/2013,Rum,Rum,r2,Combined,Charlie,1:42:07,6127,1,0.58,,
8/11/2013,Rum,Rum,r2,Combined,Rosschild,1:38:03,5883,2,0.633,,
8/11/2013,Rum,Rum,r2,Combined,Eat My Shorts,1:28:24,5304,3,0.735,,
8/11/2013,Rum,Rum,r2,Combined,Erazer,1:34:29,5669,4,0.712,,
8/11/2013,Rum,Rum,r2,Combined,White Cavalier,1:55:51,6951,5,0.581,,
8/11/2013,Rum,Rum,r2,Combined,Wellington Spirit Bronze,1:29:51,5391,6,0.763,,
8/11/2013,Rum,Rum,r2,Combined,Gucci,1:33:21,5601,7,0.737,,
9/11/2013,Offshore,Offshore,Brothers,Combined,Wai-Aniwa,10:59:20,39560,1,0.67,0.69,
9/11/2013,Offshore,Offshore,Brothers,Combined,Blue Magic,10:11:43,36703,2,0.73,0.745,0.955
9/11/2013,Offshore,Offshore,Brothers,Combined,Prime Mover,10:01:35,36095,3,0.76,0.765,0.963
9/11/2013,Offshore,Offshore,Brothers,Combined,Vendetta,10:44:50,38690,4,0.71,,
9/11/2013,Offshore,Offshore,Brothers,Combined,Gucci,10:19:14,37154,5,0.746,0.755,0.963
9/11/2013,Offshore,Offshore,Brothers,Combined,Montego Bay III,10:35:38,38138,6,0.739,0.755,
9/11/2013,Offshore,Offshore,Brothers,Combined,Midnight Express,10:09:15,36555,7,0.78,,
9/11/2013,Offshore,Offshore,Brothers,Combined,Revs,8:58:38,32318,8,0.884,0.9,1.234
9/11/2013,Offshore,Offshore,Brothers,Combined,Wedgetail,8:30:14,30614,9,0.943,0.96,1.209
9/11/2013,Offshore,Offshore,Brothers,Combined,Nedax Racing,9:44:14,35054,10,0.84,0.86,
9/11/2013,Offshore,Offshore,Brothers,Combined,The Guarantee,9:46:03,35163,11,0.845,0.85,
9/11/2013,Offshore,Offshore,Brothers,Combined,Blink,8:20:23,30023,12,1.01,1.04,
9/11/2013,Offshore,Offshore,Brothers,Combined,Ran Tan II,8:24:08,30248,13,1.08,1.12,
9/11/2013,Fleet,At Home,r1,Combined,White Cavalier,2:50:33,10233,1,0.524,,
9/11/2013,Fleet,At Home,r1,Combined,Rosschild,2:27:45,8865,2,0.626,0.695,
9/11/2013,Fleet,At Home,r1,Combined,Marishka,2:31:24,9084,3,0.615,0.655,
9/11/2013,Fleet,At Home,r1,Combined,Floating Free,2:16:37,8197,4,0.709,,
9/11/2013,Fleet,At Home,r1,Combined,After Midnight,2:15:17,8117,5,0.719,0.72,
9/11/2013,Fleet,At Home,r1,Combined,Whistler III,2:14:13,8053,6,0.725,0.74,
9/11/2013,Fleet,At Home,r1,Combined,Eat My Shorts,2:15:00,8100,7,0.745,0.745,
9/11/2013,Fleet,At Home,r1,Combined,Wiseguy,2:25:14,8714,8,0.701,,
9/11/2013,Fleet,At Home,r1,Combined,Rocket Science,2:08:22,7702,9,0.813,0.83,
9/11/2013,Fleet,At Home,r1,Combined,Structural Analysis,2:18:28,8308,10,0.793,,
13/11/2013,Fleet,Twilight 1,r2,Combined,After Midnight,1:29:26,5366,4,0.719,0.72,
13/11/2013,Fleet,Twilight 1,r2,Combined,Blue Magic,1:25:30,5130,2,0.735,0.745,0.955
13/11/2013,Fleet,Twilight 1,r2,Combined,Eat My Shorts,1:25:47,5147,3,0.739,0.745,
13/11/2013,Fleet,Twilight 1,r2,Combined,Prime Mover,1:29:27,5367,7,0.76,0.765,0.963
13/11/2013,Fleet,Twilight 1,r2,Combined,Wellington Spirit Red,1:27:58,5278,6,0.765,0.79,
13/11/2013,Fleet,Twilight 1,r2,Combined,Whistler III,1:25:06,5106,1,0.725,0.74,0.95
13/11/2013,Fleet,Twilight 1,r2,Combined,Structural Analysis,1:22:01,4921,5,0.787,,
15/11/2013,Rum,Rum,r3,Combined,Charlie,1:13:57,4437,1,0.584,,
15/11/2013,Rum,Rum,r3,Combined,Blurred Image,1:05:51,3951,2,0.68,,
15/11/2013,Rum,Rum,r3,Combined,Rosschild,1:13:18,4398,3,0.638,,
15/11/2013,Rum,Rum,r3,Combined,Wai-Aniwa,1:13:24,4404,4,0.654,,
15/11/2013,Rum,Rum,r3,Combined,Gucci,1:05:56,3956,5,0.733,,
15/11/2013,Rum,Rum,r3,Combined,Eat My Shorts,1:05:30,3930,6,0.739,,
15/11/2013,Rum,Rum,r3,Combined,Wellington Spirit Bronze,1:06:41,4001,7,0.759,,
16/11/2013,Championship,Christmas,r1,1,Blink,2:04:11,7451,1,0.948,0.98,
16/11/2013,Championship,Christmas,r1,1,Ran Tan II,2:03:51,7431,2,0.996,1.04,1.234
16/11/2013,Championship,Christmas,r1,1,Revs,2:16:47,8207,3,0.905,0.885,
16/11/2013,Championship,Christmas,r1,1,Rocket Science,2:37:05,9425,4,0.808,0.82,
16/11/2013,Championship,Christmas,r1,1,The Guarantee,<dnf>,,,,,
16/11/2013,Championship,Christmas,r1,1,Wedgetail,<dnf>,,,,,
16/11/2013,Championship,Christmas,r1,2,After Midnight,2:37:52,9472,5,0.722,0.715,
16/11/2013,Championship,Christmas,r1,2,Airship,2:26:59,8819,2,0.75,0.735,
16/11/2013,Championship,Christmas,r1,2,Blue Magic,2:35:35,9335,6,0.751,0.735,0.955
16/11/2013,Championship,Christmas,r1,2,Gucci,2:27:02,8822,1,0.748,0.755,0.963
16/11/2013,Championship,Christmas,r1,2,Incantare,2:46:11,9971,7,0.709,0.725,
16/11/2013,Championship,Christmas,r1,2,Prime Mover,2:28:48,8928,3,0.742,0.765,
16/11/2013,Championship,Christmas,r1,2,Wellington Spirit Bronze,2:51:29,10289,9,0.751,0.79,
16/11/2013,Championship,Christmas,r1,2,Whistler III,2:34:33,9273,4,0.732,0.725,
16/11/2013,Championship,Christmas,r1,2,Wiseguy,2:53:33,10413,8,0.716,,
16/11/2013,Championship,Christmas,r1,3,Haumuri,2:09:32,7772,2,0.671,0.665,
16/11/2013,Championship,Christmas,r1,3,Maranui,<dns>,,,,,
16/11/2013,Championship,Christmas,r1,3,Marishka,2:24:35,8675,4,0.614,0.65,
16/11/2013,Championship,Christmas,r1,3,Rosschild,2:17:00,8220,3,0.635,0.68,
16/11/2013,Championship,Christmas,r1,3,Saucy Sausage,2:27:41,8861,6,0.631,0.63,
16/11/2013,Championship,Christmas,r1,3,Titus Canby,2:10:13,7813,5,0.691,0.69,
16/11/2013,Championship,Christmas,r1,3,Wai-Aniwa,2:08:31,7711,1,0.671,0.69,
16/11/2013,Championship,Christmas,r1,3,White Cavalier,2:55:56,10556,7,0.568,,
20/11/2013,Fleet,Twilight 1,r3,Combined,Blink,1:06:58,4018,6,0.95,0.98,
20/11/2013,Fleet,Twilight 1,r3,Combined,Structural Analysis,1:18:16,4696,4,0.785,,
20/11/2013,Fleet,Twilight 1,r3,Combined,Whistler III,1:23:04,4984,2,0.729,0.725,0.95
20/11/2013,Fleet,Twilight 1,r3,Combined,After Midnight,1:23:59,5039,1,0.719,0.715,
20/11/2013,Fleet,Twilight 1,r3,Combined,Wellington Spirit Bronze,1:25:14,5114,8,0.765,0.79,
