Date,Handicap,Series,Race,Div,Boat name,resetTCF,TCFalgo,Scoring,Elapsed time,ETsecs,corrSecs,refTime,RankAppld,Rank,rankDiff,PHRF,rankPHRF,IRC,rankIRC,TCFapplied,TCFactual,TCFdiff,TCFst,pctMvmt,TCFclmp,newTCF
20-Feb,PNR,PNR,r2,B,Airship,0,2,1,1:19:47,4787,3762,3762,10,9,No,0.753,1,,,0.785,0.786,-0.001,0.786,0,0.786,0.787
20-Feb,PNR,PNR,r2,B,Whistler III,0,2,1,1:25:50,5150,3769,3762,9,10.5,No,0.737,8,0.95,4,0.729,0.732,-0.003,0.731,-0.14,0.731,0.732
20-Feb,PNR,PNR,r2,B,Stepping Stone,0,2,1,1:23:13,4993,3769,3762,12,10.5,No,0.755,6,,,0.754,0.755,-0.001,0.754,-0.13,0.754,0.755
20-Feb,PNR,PNR,r2,B,Prime Mover,0,2,1,1:22:44,4964,3777,3762,11,12,No,0.762,7,0.964,3,0.758,0.761,-0.003,0.758,-0.39,0.758,0.76
20-Feb,PNR,PNR,r2,B,CU,0,2,1,1:27:49,5269,3783,3762,13,13,-,0.76,14,,,0.716,0.718,-0.002,0.714,-0.56,0.714,0.716
20-Feb,PNR,PNR,r2,B,Titus Canby,0,2,1,1:32:17,5537,3875,3762,14,14,-,0.69,10,,,0.7,0.7,0,0.68,-2.86,0.68,0.693
20-Feb,PNR,PNR,r2,B,Haumuri,0,2,1,1:43:43,6223,3876,3762,15,15,-,0.662,17,,,0.623,0.623,0,0.605,-2.89,0.605,0.618
20-Feb,PNR,PNR,r2,B,Synfinity,0,2,1,1:31:26,5486,3911,3762,16,16,-,0.72,13,,,0.713,0.713,0,0.686,-3.79,0.692,0.706
20-Feb,PNR,PNR,r2,B,Incantare,0,2,1,1:35:52,5752,3922,3762,17,17,-,0.725,18,,,0.682,0.682,0,0.654,-4.11,0.662,0.675
20-Feb,PNR,PNR,r2,B,Illusions,0,2,1,1:39:45,5985,3938,3762,18,18,-,0.675,15,0.918,5,0.657,0.658,-0.001,0.629,-4.41,0.638,0.651
20-Feb,PNR,PNR,r3,A,St Laurence,0,2,1,1:34:04,5644,5751,6073,1,1,-,,,,,1.02,1.019,0.001,1.076,5.59,1.05,1.03
20-Feb,PNR,PNR,r3,A,Blink,0,2,1,1:38:25,5905,5775,6073,2,2,-,0.96,1,1.362,3,0.979,0.978,0.001,1.028,5.11,1.007,0.987
20-Feb,PNR,PNR,r3,A,Helter Skelter,0,2,1,1:56:59,7019,5902,6073,3,3,-,0.855,4,,,0.841,0.841,0,0.865,2.85,0.865,0.846
20-Feb,PNR,PNR,r3,A,Satellite Spy,0,2,1,1:51:40,6700,6023,6073,4,4,-,0.885,2,,,0.9,0.899,0.001,0.906,0.78,0.906,0.903
20-Feb,PNR,PNR,r3,A,Revs,0,2,1,1:53:56,6836,6070,6073,5,5,-,0.9,7,,,0.888,0.888,0,0.888,0,0.888,0.888
20-Feb,PNR,PNR,r3,A,Wedgetail,0,2,1,1:45:46,6346,6073,6073,6,6,-,0.945,3,1.209,1,0.957,0.957,0,0.957,0,0.957,0.959
20-Feb,PNR,PNR,r3,A,The Guarantee,0,2,1,1:59:50,7190,6082,6073,7,7,-,0.84,5,,,0.846,0.846,0,0.845,-0.12,0.845,0.847
