Date,Handicap,Series,Race,Div,Boat name,resetTCF,TCFalgo,Scoring,Elapsed time,ETsecs,corrSecs,refTime,RankAppld,Rank,rankDiff,PHRF,rankPHRF,IRC,rankIRC,TCFapplied,TCFactual,TCFdiff,TCFst,pctMvmt,TCFclmp,newTCF
20 Feb,PNR,PNR,r2,B,Gucci,0,2,1,1:22:07,4927.0,3754.0,3762.0,7.0,7.0,-,0.745,3.0,0.963,2.0,0.755,0.762,-0.007,0.764,0.26,0.764,0.763
20 Feb,PNR,PNR,r2,B,After Midnight,0,2,1,1:24:39,5079.0,3758.0,3762.0,12.0,8.0,No,0.725,5.0,,,0.7390000000000001,0.74,-0.001,0.741,0.14,0.741,0.74
20 Feb,PNR,PNR,r2,B,Airship,0,2,1,1:19:47,4787.0,3762.0,3762.0,9.0,9.0,-,0.753,1.0,,,0.78,0.786,-0.006,0.786,0.0,0.786,0.787
20 Feb,PNR,PNR,r2,B,Stepping Stone,0,2,1,1:23:13,4993.0,3769.0,3762.0,10.0,10.5,No,0.755,6.0,,,0.75,0.755,-0.005,0.754,-0.13,0.754,0.755
20 Feb,PNR,PNR,r2,B,Whistler III,0,2,1,1:25:50,5150.0,3769.0,3762.0,8.0,10.5,No,0.737,8.0,0.95,4.0,0.725,0.732,-0.007,0.731,-0.14,0.731,0.732
20 Feb,PNR,PNR,r2,B,Prime Mover,0,2,1,1:22:44,4964.0,3777.0,3762.0,11.0,12.0,No,0.762,7.0,0.9640000000000001,3.0,0.7559999999999999,0.761,-0.005,0.758,-0.39,0.758,0.76
20 Feb,PNR,PNR,r2,B,CU,0,2,1,1:27:49,5269.0,3783.0,3762.0,13.0,13.0,-,0.76,14.0,,,0.716,0.718,-0.002,0.714,-0.56,0.714,0.716
20 Feb,PNR,PNR,r2,B,Titus Canby,0,2,1,1:32:17,5537.0,3875.0,3762.0,15.0,14.0,No,0.69,10.0,,,0.7,0.7,0.0,0.68,-2.86,0.68,0.693
20 Feb,PNR,PNR,r2,B,Haumuri,0,2,1,1:43:43,6223.0,3876.0,3762.0,14.0,15.0,No,0.662,17.0,,,0.62,0.623,-0.003,0.605,-2.89,0.605,0.618
20 Feb,PNR,PNR,r2,B,Synfinity,0,2,1,1:31:26,5486.0,3911.0,3762.0,16.0,16.0,-,0.72,13.0,,,0.713,0.713,0.0,0.686,-3.79,0.692,0.706
20 Feb,PNR,PNR,r2,B,Incantare,0,2,1,1:35:52,5752.0,3922.0,3762.0,17.0,17.0,-,0.725,18.0,,,0.682,0.682,0.0,0.654,-4.11,0.662,0.675
20 Feb,PNR,PNR,r2,B,Illusions,0,2,1,1:39:45,5985.0,3938.0,3762.0,18.0,18.0,-,0.675,15.0,0.9179999999999999,5.0,0.657,0.658,-0.001,0.629,-4.41,0.638,0.651
20 Feb,PNR,PNR,r3,A,St Laurence,0,2,1,1:34:04,5644.0,5751.0,6073.0,2.0,1.0,No,,,,,1.018,1.019,-0.001,1.076,5.59,1.05,1.03
20 Feb,PNR,PNR,r3,A,Blink,0,2,1,1:38:25,5905.0,5775.0,6073.0,1.0,2.0,No,0.96,1.0,1.3619999999999999,3.0,0.972,0.978,-0.006,1.028,5.11,1.007,0.987
20 Feb,PNR,PNR,r3,A,Helter Skelter,0,2,1,1:56:59,7019.0,5902.0,6073.0,3.0,3.0,-,0.855,4.0,,,0.841,0.841,0.0,0.865,2.85,0.865,0.846
20 Feb,PNR,PNR,r3,A,Satellite Spy,0,2,1,1:51:40,6700.0,6023.0,6073.0,4.0,4.0,-,0.885,2.0,,,0.894,0.899,-0.005,0.906,0.78,0.906,0.903
20 Feb,PNR,PNR,r3,A,Revs,0,2,1,1:53:56,6836.0,6070.0,6073.0,6.0,5.0,No,0.9,7.0,,,0.883,0.888,-0.005,0.888,0.0,0.888,0.888
20 Feb,PNR,PNR,r3,A,Wedgetail,0,2,1,1:45:46,6346.0,6073.0,6073.0,5.0,6.0,No,0.945,3.0,1.209,1.0,0.951,0.957,-0.006,0.957,0.0,0.957,0.959
20 Feb,PNR,PNR,r3,A,The Guarantee,0,2,1,1:59:50,7190.0,6082.0,6073.0,7.0,7.0,-,0.84,5.0,,,0.841,0.846,-0.005,0.845,-0.12,0.845,0.847
20 Feb,PNR,PNR,r3,A,Magic Trick,0,2,1,1:55:43,6943.0,6109.0,6073.0,8.0,8.0,-,0.875,6.0,,,0.8759999999999999,0.88,-0.004,0.875,-0.57,0.875,0.877
20 Feb,PNR,PNR,r3,A,Jive Talkin,0,2,1,1:59:52,7192.0,6134.0,6073.0,9.0,9.0,-,0.857,8.0,,,0.8540000000000001,0.853,0.001,0.845,-0.94,0.845,0.849
20 Feb,PNR,PNR,r3,A,Crusader,0,2,1,1:48:11,6491.0,6192.0,6073.0,11.0,10.0,No,0.951,9.0,,,0.955,0.954,0.001,0.936,-1.89,0.936,0.947
20 Feb,PNR,PNR,r3,A,Black Diamond,0,2,1,2:08:14,7694.0,6232.0,6073.0,10.0,11.0,No,0.807,10.0,1.006,2.0,0.804,0.81,-0.006,0.789,-2.59,0.789,0.803
21 Feb,PNR,PNR,r3,B,CU,0,2,1,<raf>,,,,,,,,,,,,,,,,,
21 Feb,PNR,PNR,r3,B,White Cavalier,0,2,1,<dnc>,,,,,,,,,,,,,,,,,
