Date,Handicap,Series,Race,Div,Boat name,Elapsed time,ETsecs,corrSecs,refTime,RankAppld,Rank,rankDiff,PHRF,IRC,TCFapplied,TCFactual,TCFdiff,TCFst,pctMvmt,TCFclmp,newTCF
21-Feb,PNR,PNR,r1,A,Badonkadonk,<dnc>,,,,,,,,,,,,,,,
21-Feb,PNR,PNR,r1,A,Drinks Trolley,<dnc>,,,,,,,,,,,,,,,
21-Feb,PNR,PNR,r1,A,The Guarantee,<dnc>,,,,,,,,,,,,,,,
21-Feb,PNR,PNR,r1,B,Wiseguy,0:50:21,3021,2099,2088,11,11,-,0.725,,0.695,0.695,0,0.691,-0.58,0.691,0.694
21-Feb,PNR,PNR,r1,B,Airship,0:46:34,2794,2103,2088,12,12,-,0.74,,0.753,0.753,0,0.748,-0.66,0.748,0.752
21-Feb,PNR,PNR,r1,B,Brix,0:49:56,2996,2106,2088,13,13,-,0.735,,0.703,0.703,0,0.697,-0.85,0.697,0.701
21-Feb,PNR,PNR,r1,B,Wai-Aniwa,0:52:11,3131,2122,2088,14,14,-,0.69,,0.678,0.678,0,0.667,-1.62,0.667,0.675
21-Feb,PNR,PNR,r1,B,Slingshot,0:47:43,2863,2155,2088,15,15,-,,,0.753,0.753,0,0.73,-3.05,0.73,0.747
21-Feb,PNR,PNR,r1,B,Gucci,0:47:02,2822,2175,2088,16,16,-,0.755,0.963,0.771,0.771,0,0.74,-4.02,0.748,0.765
21-Feb,PNR,PNR,r1,B,Haumuri,0:54:16,3256,2178,2088,17,17,-,0.665,,0.669,0.669,0,0.641,-4.19,0.649,0.664
21-Feb,PNR,PNR,r1,B,Wellington Spirit Red,0:49:54,2994,2266,2088,18,18,-,,,0.757,0.757,0,0.698,-7.79,0.734,0.751
21-Feb,PNR,PNR,r2,A,Drinks Trolley,<dnc>,,,,,,,,,,,,,,,
21-Feb,PNR,PNR,r2,A,The Guarantee,<dnc>,,,,,,,,,,,,,,,
21-Feb,PNR,PNR,r2,A,Badonkadonk,<dnf>,,,,,,,,,,,,,,,
21-Feb,PNR,PNR,r2,A,C U,1:01:59,3719,2975,2987,1,1,-,0.79,,0.8,0.8,0,0.803,0.38,0.803,0.801
21-Feb,PNR,PNR,r2,A,Black Diamond,1:01:34,3694,2977,2987,2,2,-,0.795,1.008,0.806,0.806,0,0.809,0.37,0.809,0.808
21-Feb,PNR,PNR,r2,A,Rocket Science,1:00:48,3648,2987,2987,3,3,-,0.82,,0.819,0.819,0,0.819,0,0.819,0.82
21-Feb,PNR,PNR,r2,A,Revs,0:56:40,3400,3083,2987,4,4,-,0.89,1.234,0.907,0.907,0,0.879,-3.09,0.88,0.901
21-Feb,PNR,PNR,r2,A,Magic Trick,0:57:17,3437,3100,2987,5,5,-,0.875,,0.902,0.902,0,0.869,-3.66,0.875,0.895
21-Feb,PNR,PNR,r2,A,Jive Talkin,1:01:02,3662,3233,2987,6,6,-,0.865,,0.883,0.883,0,0.816,-7.59,0.857,0.877
21-Feb,PNR,PNR,r2,B,Illusions,<dnc>,,,,,,,,,,,,,,,
21-Feb,PNR,PNR,r2,B,Bacchante,0:47:01,2821,2033,2227,1,1,-,0.705,,0.721,0.721,0,0.79,9.57,0.743,0.726
21-Feb,PNR,PNR,r2,B,Incantare,0:52:16,3136,2088,2227,2,2,-,0.725,,0.666,0.666,0,0.71,6.61,0.686,0.671
21-Feb,PNR,PNR,r2,B,Prime Mover,0:46:57,2817,2101,2227,3,3,-,0.765,0.964,0.746,0.746,0,0.791,6.03,0.768,0.75
21-Feb,PNR,PNR,r2,B,White Cavalier,1:05:48,3948,2171,2227,4,4,-,0.65,,0.55,0.55,0,0.564,2.55,0.564,0.554
21-Feb,PNR,PNR,r2,B,Haumuri,0:54:42,3282,2179,2227,5,5,-,0.665,,0.664,0.664,0,0.679,2.26,0.679,0.666
21-Feb,PNR,PNR,r2,B,Titus Canby,0:53:35,3215,2202,2227,6,6,-,0.69,,0.685,0.685,0,0.693,1.17,0.693,0.687
