Date,Handicap,Series,Race,Div,Boat name,resetTCF,TCFalgo,Scoring,Elapsed time,ETsecs,corrSecs,refTime,RankAppld,Rank,rankDiff,PHRF,rankPHRF,IRC,rankIRC,TCFapplied,TCFactual,TCFdiff,TCFst,pctMvmt,TCFclmp,newTCF
4 Oct,Championship,Spring,r2,1,Wedgetail,0,2,1,1:43:08,6188.0,5903.0,5959.0,2.0,2.0,-,0.945,2.0,1.209,1.0,0.9540000000000001,0.954,0.0,0.963,0.94,0.963,0.957
4 Oct,Championship,Spring,r2,1,The Guarantee,0,2,1,1:59:49,7189.0,5959.0,5959.0,3.0,3.0,-,0.84,4.0,,,0.8290000000000001,0.829,0.0,0.829,0.0,0.829,0.829
4 Oct,Championship,Spring,r2,1,Magic Trick,0,2,1,1:50:54,6654.0,6048.0,5959.0,4.0,4.0,-,0.875,1.0,,,0.909,0.909,0.0,0.896,-1.43,0.896,0.905
4 Oct,Championship,Spring,r2,1,Revs,0,2,1,1:52:00,6720.0,6101.0,5959.0,5.0,5.0,-,0.9,5.0,,,0.9079999999999999,0.908,-0.0,0.887,-2.31,0.887,0.902
4 Oct,Championship,Spring,r2,1,Helter Skelter,0,2,1,2:06:29,7589.0,6412.0,5959.0,6.0,6.0,-,,,,,0.845,0.845,0.0,0.785,-7.1,0.82,0.837
4 Oct,Championship,Spring,r2,2,Prime Mover,0,2,1,1:47:25,6445.0,4911.0,5115.0,1.0,1.0,-,0.762,1.0,0.9640000000000001,1.0,0.762,0.762,0.0,0.794,4.2,0.785,0.77
4 Oct,Championship,Spring,r2,2,Eat My Shorts,0,2,1,1:52:02,6722.0,4920.0,5115.0,2.0,2.0,-,0.74,3.0,,,0.732,0.732,0.0,0.761,3.96,0.754,0.739
4 Oct,Championship,Spring,r2,2,Testarossa,0,2,1,1:47:15,6435.0,5006.0,5115.0,3.0,3.0,-,0.772,2.0,,,0.778,0.778,0.0,0.795,2.19,0.795,0.784
4 Oct,Championship,Spring,r2,2,Whistler III,0,2,1,1:54:24,6864.0,5099.0,5115.0,5.0,4.5,No,0.74,5.0,0.95,2.0,0.743,0.743,0.0,0.745,0.27,0.745,0.744
4 Oct,Championship,Spring,r2,2,Montego Bay III,0,2,1,2:00:33,7233.0,5099.0,5115.0,4.0,4.5,No,,,,,0.705,0.705,0.0,0.707,0.28,0.707,0.706
4 Oct,Championship,Spring,r2,2,Wiseguy,0,2,1,2:03:12,7392.0,5115.0,5115.0,6.0,6.0,-,0.725,8.0,,,0.693,0.692,0.001,0.692,0.0,0.692,0.692
4 Oct,Championship,Spring,r2,2,Floating Free,0,2,1,2:01:46,7306.0,5143.0,5115.0,7.0,7.0,-,,,,,0.7040000000000001,0.704,0.0,0.7,-0.57,0.7,0.702
4 Oct,Championship,Spring,r2,2,Gucci,0,2,1,1:53:14,6794.0,5170.0,5115.0,8.0,8.0,-,0.745,4.0,0.963,3.0,0.7609999999999999,0.761,-0.0,0.753,-1.05,0.753,0.758
4 Oct,Championship,Spring,r2,2,After Midnight,0,2,1,2:00:32,7232.0,5192.0,5115.0,9.0,9.0,-,0.725,6.0,,,0.718,0.718,0.0,0.707,-1.53,0.707,0.714
4 Oct,Championship,Spring,r2,2,Airship,0,2,1,1:57:56,7076.0,5292.0,5115.0,10.0,10.0,-,0.753,7.0,,,0.748,0.748,0.0,0.723,-3.34,0.726,0.741
4 Oct,Championship,Spring,r2,2,Brix,0,2,1,2:05:38,7538.0,5306.0,5115.0,11.0,11.0,-,0.725,9.0,,,0.7040000000000001,0.704,0.0,0.679,-3.55,0.683,0.698
4 Oct,Championship,Spring,r2,2,CU,0,2,1,1:59:42,7182.0,5745.0,5115.0,12.0,12.0,-,,,,,0.8,0.8,0.0,0.712,-11.0,0.776,0.793
4 Oct,Championship,Spring,r2,3,Marishka,0,2,1,1:39:20,5960.0,3599.0,3766.0,1.0,1.0,-,0.65,4.0,,,0.604,0.604,0.0,0.632,4.64,0.622,0.608
