Date,Handicap,Series,Race,Div,Boat name,Elapsed time,ETsecs,corrSecs,refTime,RankAppld,Rank,rankDiff,PHRF,IRC,TCFapplied,newTCF,TCFdiff,TCFst,pctMvmt,TCFclmp,oldTCF
5-Apr,Championship,Autumn,r3,1,Wedgetail,0:27:22,1642,1541,1583,2,2,-,0.95,1.208,0.943,0.939,0.004,0.965,2.77,0.965,0.943
5-Apr,Championship,Autumn,r3,1,Revs,0:29:16,1756,1552,1583,3,3,-,0.89,1.234,0.905,0.884,0.021,0.902,2.04,0.902,0.906
5-Apr,Championship,Autumn,r3,1,Structural Analysis,0:34:01,2041,1583,1583,4,4,-,,,0.781,0.776,0.005,0.776,0,0.776,0.781
5-Apr,Championship,Autumn,r3,1,Drinks Trolley,0:31:40,1900,1599,1583,5,5,-,0.84,,0.85,0.842,0.008,0.834,-0.95,0.834,0.851
5-Apr,Championship,Autumn,r3,1,Rocket Science,0:33:55,2035,1701,1583,6,6,-,0.82,,0.825,0.836,-0.011,0.778,-6.94,0.811,0.825
5-Apr,Championship,Autumn,r3,1,Blink,0:36:56,2216,2116,1583,7,7,-,0.96,,0.958,0.955,0.003,0.714,-25.24,0.926,0.958
5-Apr,Championship,Autumn,r3,2,Incantare,0:34:51,2091,1396,1537,1,1,-,0.725,,0.663,0.668,-0.005,0.735,10.03,0.688,0.663
5-Apr,Championship,Autumn,r3,2,Gucci,0:33:03,1983,1491,1537,2,2,-,0.755,0.963,0.756,0.752,0.004,0.775,3.06,0.775,0.755
5-Apr,Championship,Autumn,r3,2,After Midnight,0:34:13,2053,1492,1537,5,3,No,0.72,,0.732,0.727,0.005,0.749,3.03,0.749,0.731
5-Apr,Championship,Autumn,r3,2,Wiseguy,0:36:06,2166,1494,1537,3,4,No,0.725,,0.692,0.69,0.002,0.71,2.9,0.71,0.692
5-Apr,Championship,Autumn,r3,2,Whistler III,0:33:30,2010,1495,1537,4,5,No,0.73,0.95,0.747,0.744,0.003,0.765,2.82,0.765,0.745
5-Apr,Championship,Autumn,r3,2,Prime Mover,0:34:13,2053,1537,1537,6,6,-,0.765,0.964,0.746,0.749,-0.003,0.749,0,0.749,0.745
5-Apr,Championship,Autumn,r3,2,Testarossa,0:33:11,1991,1558,1537,8,7,No,0.765,,0.784,0.783,0.001,0.772,-1.4,0.772,0.782
5-Apr,Championship,Autumn,r3,2,Blue Magic,0:35:43,2143,1560,1537,7,8,No,0.74,0.955,0.727,0.728,-0.001,0.717,-1.51,0.717,0.725
5-Apr,Championship,Autumn,r3,2,Floating Free,0:36:18,2178,1563,1537,9,9,-,,,0.722,0.718,0.004,0.706,-1.67,0.706,0.72
5-Apr,Championship,Autumn,r3,2,Eat My Shorts,0:35:56,2156,1584,1537,10.5,10,No,0.745,,0.739,0.735,0.004,0.713,-2.99,0.713,0.738
5-Apr,Championship,Autumn,r3,2,Wellington Spirit Red,0:35:58,2158,1592,1537,10.5,11,No,0.79,,0.738,0.738,0,0.713,-3.39,0.716,0.738
5-Apr,Championship,Autumn,r3,3,White Cavalier,1:28:47,5327,2887,3172,1,1,-,0.65,,0.547,0.542,0.005,0.596,9.96,0.558,0.547
